Woman ID,Residence,Region,Religion,Ethnicity,Age group,Marital state,Current marital state,Highest education qualification,Frequency of reading newspapper,Frequency of watching televisio,Frequency of listening to radio,Frequency of all media combined,Have you ever given birth,Current pregnancy status,Working status,Welth index,Y1
1,1,1,5,2,5,1,1,4,1,1,2,1,1,2,1,3,2
2,1,1,3,4,5,2,3,2,3,1,1,1,2,2,2,4,
3,1,1,5,2,4,1,1,3,1,2,3,1,1,2,2,2,2
4,1,1,2,2,6,1,1,2,3,1,3,1,1,2,1,3,
5,1,1,2,2,7,2,3,2,3,1,3,1,1,2,1,4,1
6,1,1,1,1,4,1,1,3,1,1,3,1,1,2,2,5,2
7,1,1,5,2,4,1,1,4,1,1,3,1,1,2,2,4,8
8,1,1,5,2,4,1,1,1,3,3,3,3,2,2,1,4,8
9,1,1,2,2,3,1,1,2,2,2,2,2,1,2,2,3,1
10,1,1,4,2,5,1,1,3,1,1,3,1,1,2,2,4,2
11,1,1,4,2,3,1,1,3,1,1,3,1,1,2,2,4,
12,1,1,3,4,5,1,1,2,3,3,1,1,1,2,2,4,8
13,1,1,4,2,5,1,1,3,1,1,1,1,1,2,1,4,2
14,1,1,3,4,2,1,1,5,1,1,1,1,1,2,2,4,2
15,1,1,4,1,7,2,3,3,3,1,3,1,1,2,1,5,1
16,1,1,3,4,5,1,1,5,1,1,3,1,1,2,2,4,2
17,1,1,4,1,6,1,1,3,2,1,3,1,1,2,1,3,2
18,1,1,3,4,6,1,1,4,3,1,3,1,1,2,2,4,2
19,1,1,3,4,2,1,1,3,3,2,3,2,1,2,2,4,2
20,1,1,3,7,6,1,1,3,1,1,1,1,1,2,2,5,1
21,1,1,3,4,7,1,1,3,1,3,2,1,1,2,2,4,2
22,1,1,2,2,4,1,1,5,1,1,3,1,1,2,2,5,1
23,1,1,2,2,7,1,1,4,1,1,2,1,1,2,2,5,2
24,1,1,4,2,6,1,3,5,1,1,1,1,2,2,1,5,2
25,1,1,2,2,5,1,1,5,1,1,2,1,1,2,1,5,1
26,1,1,5,2,5,1,1,3,2,1,2,1,1,2,2,5,2
27,1,1,2,2,3,1,1,4,2,1,2,1,1,2,2,5,2
28,1,1,2,2,5,1,1,5,1,1,2,1,1,2,2,5,2
29,1,1,4,1,5,1,1,3,3,2,3,2,1,2,2,4,2
30,1,1,2,2,4,1,1,4,1,1,1,1,2,1,2,4,2
31,1,1,3,4,5,1,1,3,3,1,1,1,1,2,2,3,2
32,1,1,3,4,6,1,1,2,3,1,2,1,1,2,1,4,8
33,1,1,3,4,7,1,1,2,3,1,1,1,1,2,2,5,2
34,1,1,3,4,2,1,1,3,3,1,1,1,1,2,2,5,8
35,1,1,3,4,4,1,1,3,3,1,1,1,1,2,2,3,2
36,1,1,1,1,7,1,1,3,3,1,1,1,1,2,2,5,2
37,1,1,3,4,3,1,1,3,1,1,2,1,1,2,2,4,1
38,1,1,4,1,3,1,1,3,1,1,2,1,1,2,2,3,2
39,1,1,3,4,7,1,1,3,1,1,1,1,1,2,2,5,2
40,1,1,3,4,2,1,1,4,3,1,1,1,1,2,2,5,2
41,1,1,1,1,7,1,1,2,3,1,3,1,1,2,2,4,1
42,1,1,3,4,2,1,1,5,2,1,3,1,1,1,2,4,2
43,1,1,3,4,7,1,1,3,1,1,2,1,1,2,2,4,2
44,1,1,3,4,5,1,1,4,3,2,3,2,1,2,2,4,8
45,1,1,5,2,3,1,1,5,2,1,3,1,1,2,2,5,2
46,1,1,2,2,7,1,1,5,1,1,3,1,1,2,2,5,2
47,1,1,2,2,4,1,1,5,1,1,2,1,2,2,1,5,2
48,1,1,2,2,6,1,1,5,1,1,3,1,1,2,1,5,2
49,1,1,5,2,6,1,1,1,3,3,3,3,1,2,1,1,1
50,1,1,5,2,7,1,1,1,3,3,3,3,1,2,1,1,1
51,1,1,2,2,5,1,1,3,3,1,3,1,1,2,2,4,8
52,1,1,1,1,5,1,1,3,2,1,1,1,1,2,1,4,8
53,1,1,3,4,4,1,1,4,2,1,2,1,2,2,1,1,8
54,1,1,1,1,6,1,1,3,1,1,1,1,1,2,2,3,1
55,1,1,3,4,3,1,1,4,2,1,1,1,2,1,2,5,1
56,1,1,1,1,4,1,1,4,2,1,3,1,1,2,2,4,2
57,1,1,2,2,4,1,1,4,1,1,2,1,1,2,2,4,1
58,1,1,2,2,6,1,1,2,1,1,1,1,1,2,1,5,1
59,1,1,1,1,6,1,1,3,3,2,2,2,1,2,1,5,2
60,1,1,4,2,6,1,1,3,1,1,1,1,1,2,2,5,2
61,1,1,1,1,7,1,1,5,1,1,1,1,1,2,2,5,8
62,1,1,2,2,7,1,1,4,1,1,3,1,1,2,2,5,2
63,1,1,5,1,5,1,1,4,2,1,1,1,1,2,2,3,2
64,1,1,4,2,4,1,2,5,1,1,1,1,1,2,2,5,2
65,1,1,1,1,5,1,1,3,1,1,2,1,1,2,2,5,2
66,1,1,2,2,6,1,1,5,1,1,1,1,1,2,2,5,2
67,1,1,2,2,3,1,1,3,1,1,2,1,1,2,2,5,2
68,1,1,2,2,6,1,2,5,1,1,1,1,1,2,2,5,2
69,1,1,2,2,4,1,1,3,1,1,1,1,1,2,2,5,2
70,1,1,4,2,5,1,1,4,2,1,1,1,1,2,2,5,2
71,1,1,4,2,7,3,3,3,1,1,1,1,1,2,2,2,
72,1,1,2,2,4,1,1,3,1,1,3,1,1,2,2,3,2
73,1,1,4,2,5,1,1,2,3,1,2,1,1,2,2,3,8
74,1,1,3,4,3,1,1,3,3,1,3,1,1,2,2,4,2
75,1,1,4,2,5,1,1,3,1,1,3,1,1,2,2,4,2
76,1,1,2,2,5,1,1,3,1,1,1,1,1,2,1,4,2
77,1,1,3,4,5,1,1,3,3,1,3,1,1,2,2,4,8
78,1,1,2,2,7,1,1,3,2,3,3,2,2,2,2,3,2
79,1,1,3,4,3,1,2,3,2,1,3,1,1,2,2,4,8
80,1,1,2,2,5,1,1,4,1,1,3,1,1,2,1,5,2
81,1,1,2,2,2,1,1,3,3,1,3,1,2,1,1,4,2
82,1,1,2,2,5,1,1,3,1,1,1,1,1,2,2,4,2
83,1,1,3,4,6,1,1,4,1,1,2,1,1,2,2,5,2
84,1,1,2,2,3,1,1,5,3,1,1,1,1,2,2,5,2
85,1,1,2,2,3,1,1,5,3,1,3,1,1,2,1,5,1
86,1,1,4,2,6,1,1,3,1,1,2,1,1,2,2,5,2
